,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,o,o,o,o,o,o,o,o,o,o,o,o,m,o,o,o,o,o,o
2,,o,,,,,,,,,,,,,,,o,,,o
3,,r,o,o,o,,o,,o,o,o,o,o,o,o,,o,,,
4,,,,,o,,o,,o,,,,,,o,,o,o,o,m
5,o,o,o,o,o,,o,o,r,,o,o,o,o,o,,,,,o
6,m,,,,,,,,o,,o,,,,,,,,,o
7,o,o,o,o,o,o,m,,o,,o,,o,o,o,o,o,o,o,o
8,,,,,,,o,,o,,m,,,,,,,,,o
9,,o,o,m,o,,o,,o,,o,o,o,o,o,o,o,o,o,o
10,,o,,,o,,o,,o,,,,,,,,,,,r
11,,o,,o,o,o,o,o,r,o,o,m,o,o,o,o,o,o,,o
12,,o,,,,,o,,o,,,,,,,,,o,,o
13,,o,o,o,o,o,o,,o,,,o,o,o,o,o,,o,,o
14,,,,,,,,,o,o,o,r,,,,m,,o,o,o
15,o,o,o,o,o,o,o, ,o,,,o,,m,,o,,,,
16,r,,,,,,,,o,o,o,o,,o,,o,o,o,o,o
17,o,,o,o,o,o,o,o,o,,,,,o,,,,,,o
18,o,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
19,m,,,,,,,,,,,,,,,,,,,o
20,o,o,o,o,o,o,o,o,o,r,o,o,o,o,o,m,o,o,o,w
