,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
1,o,b,o,o,o,o,,,,,,,,,,,,,,
2,o,o,o,o,o,o,,,,,,,,,,,,,,
3,o,o,o,o,o,o,,,,,,,,,,,,,,
4,m,r,m,r,m,r,m,r,m,r,m,r,m,r,m,r,m,r,m,b
5,,,,,,o,,,,,,,,,,,,,,o
6,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
7,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
8,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
9,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
10,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
11,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
12,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
13,,h,h,h,,o,,h,h,,h,h,,h,h,,h,h,,o
14,m,r,m,r,m,r,m,r,m,r,m,r,,r,m,r,m,r,m,r
15,o,,,,,,,,,,,,,o,,,,,,
16,m,r,m,r,m,r,m,r,m,r,m,r,,r,m,r,m,r,m,r
17,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
18,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
19,m,r,m,r,m,r,m,r,m,r,m,r,m,r,m,r,m,r,m,r
20,,,,,,,w,,,,,,,,,,,,,
