bad: bag, bat, bed, bike, bone, brave
bag: bad, bat, bed, big, bike, bone
bat: back, bad, bag, bed, big, bike
bed: bag, bat, big, bike, bone, brave
big: bag, bat, bed, bike, bone, blue
box: bag, bat, bed, big, bike, bone
bug: bag, bat, bed, big, bike, bone
bus: bag, bat, bed, big, bike, bone
can: cat, cap, car, cake, came, cave
cap: cake, came, can, cape, car, care
car: cake, came, can, cap, cape, care
cat: can, cap, car, cake, came, cave
cub: cake, came, can, cap, cape, car
cup: can, cap, car, cut, cube, cute
cut: can, cap, car, cake, came, cave
den: dog, dig, dot, dome, dare, days
dig: dog, dot, dome, dare, days, duck
dog: dig, dot, dome, dare, days, duck
dot: dare, days, den, dig, dime, dive
fat: face, fade, fame, fare, fate, file
fin: face, fade, fame, fare, fat, fate
fox: fun, fin, fat, face, fire, five
fun: face, fade, fame, fare, fat, fate
gap: game, gate, gave, gem, get, glide
gem: game, gap, gate, gave, get, glide
get: game, gap, gate, gave, gem, glide
got: game, gap, gate, gave, gem, get
gum: got, gap, get, game, gate, gave
hat: hit, hop, hot, home, hope, huge
hit: hat, hide, hike, hive, hole, home
hop: hat, hot, hit, home, hope, huge
hot: hat, hit, hop, home, hope, huge
hug: hat, hide, hike, hit, hive, hole
jam: job, jug, jet, jump, joke, join
jet: jam, join, joke, jug, jump, keep
job: jam, jug, jet, jump, joke, join
jug: jam, jet, join, joke, jump, keep
key: keep, kid, kind, king, kit, kite
kid: keep, key, kind, king, kit, kite
kit: kid, key, king, kite, keep, kind
lap: log, let, leg, line, like, lake
leg: log, lap, let, line, like, lake
let: lace, lake, lane, lap, late, leg
log: lap, let, leg, line, like, lake
lot: log, lap, let, line, like, lake
map: man, mat, mad, made, mine, moon
mix: man, map, mat, made, mine, moon
mud: man, map, mat, made, mine, moon
net: not, nut, note, name, nine, nail
pen: pet, pot, pat, pine, phone, plane
pig: pet, pot, pat, pine, phone, plane
pot: pet, pat, put, pine, phone, plane
red: run, rug, rat, ride, rope, rain
rug: run, red, rat, ride, rope, rain
run: red, rug, rat, ride, rope, rain
run: red, rug, ride, rope, rain, rock
sit: sun, six, sad, save, same, side
sun: sit, sad, six, side, same, save
top: tap, tip, toy, take, tape, time
van: vet, vat, vine, vote, voice, view
web: wet, win, wig, wide, wine, wave
wet: win, web, wig, wide, wine, wave
win: wet, web, wig, wide, wine, wave
zip: zoo, zap, zero, zone, zoom, zest
