bike: bite, like, kite, hike, big, back
bite: back, bad, bag, bat, bed, big
blade: back, bad, bag, bat, bed, big
blame: back, bad, bag, bat, bed, big
bone: back, bad, bag, bat, bed, big
brave: gave, cave, wave, save, came, safe
cake: came, can, cap, cape, car, care
came: cake, can, cap, cape, car, care
cape: cap, tape, cake, gate, came, safe
care: car, dare, fare, rare, cake, came
cave: cake, came, can, cap, cape, car
cheese: choke, chose, close, come, cone, cope
choke: cheese, chose, close, come, cone, cope
chose: chop, close, those, prose, bone, tone
close: cheese, choke, chose, come, cone, cope
come: cheese, choke, chose, close, cone, cope
cone: cheese, choke, chose, close, come, cope
cute: cut, cube, mute, tube, cat, cub
drive: dive, five, live, hive, fire, file
face: fat, race, pace, lace, cake, came
fine: fin, line, wine, nine, fire, file
frame: from, blame, flame, shame, cake, came
game: gem, came, fame, name, same, safe
globe: glob, grab, grove, glide, gone, gave
grape: grab, tape, cape, shape, cake, came
home: how, dome, come, bone, tone, hope
hope: hop, rope, cope, note, home, hole
huge: hug, tube, cute, mute, home, hole
kite: kit, bite, lite, site, bike, hike
like: lit, bike, hike, pike, fire, file
line: lit, wine, mine, nine, fine, file
made: mad, fade, cake, gate, make, came
note: not, vote, dote, tone, bone, rope
phone: bone, tone, cone, note, home, hope
place: plan, space, grace, trace, cake, came
plane: plan, lane, came, game, safe, cake
prize: pride, size, wise, rise, fire, file
rate: rat, gate, late, fate, rake, came
robe: rob, tube, cube, bone, home, rode
save: cave, gave, wave, same, safe, came
shade: shed, grade, trade, blade, cake, came
share: shave, care, dare, rare, cake, came
shine: shin, line, wine, nine, fine, site
side: sit, hide, ride, wide, fire, file
slide: side, hide, ride, wide, fire, file
smile: slide, file, style, side, sire, site
smoke: smog, spoke, broke, choke, bone, tone
spine: spin, wine, mine, fine, line, file
stone: bone, tone, cone, note, home, rope
stone: stop, bone, tone, cone, home, rope
store: stop, more, core, pore, bone, tone
take: tan, cake, lake, make, wake, came
theme: them, scheme, cream, dream, fine, line
these: this, cheese, freeze, breeze, the, days
time: tin, lime, dime, mime, fire, file
tone: ton, bone, cone, note, home, rope
while: wilt, smile, pile, file, fire, line
white: whit, quite, write, spite, fire, file
whole: wool, hole, pole, role, bone, tone
